,Name,Comment,stopword_comment,Hasil Sentimen
0,Sarojo Wibowo,Bubarkan FPI,bubarkan,Positif
1,Tembos Haka1,Negara ini yang miskin tambah miskin yg kaya tambah kaya .yg dapat bantuan dari negara .yg mampu2 tetangga saya punya mobil malah dapat bantuan dari negara tiap bulan.bantuan rakyat miskin.asli Jawa tengah.gimana daerah teman2,negara miskin miskin kaya kaya bantuan negara tetanga mobil bantuan negara bantuan rakyat miskin asli jawa daerah teman,Negatif
2,rasya,"Bawang merah Bawang putih, yg jahat bawang merah, yg baik bawang putih, yg korupsi baju merah, yg dipenjara baju putih.",bawang merah bawang putih jahat bawang merah bawang putih korupsi baju merah dipenjara baju putih,Positif
3,Hermansyah SAMSUL AIN,Cabang Usaha kerja..Alhamdulillah,cabang usaha kerja alhamdulilah,Positif
4,kampret bolobolo,"Yes... sertifikasi halal gratis.. kemarin2 kan bayar...
Buat biayai demo...",yes sertifikasi halal gratis kemarin bayar biayai demo,Negatif
5,Giend Calvius,Jalan presiden Jokowi cepat kali y..,jalan presiden jokowi cepat kali,Positif
6,21_Muhammad Hadi Luqman Affandi,:v vidionya apa komennya ruu korupsi hukuman mati :v,vidionya komenya korupsi hukuman mati,Negatif
7,made wira yasa,"Semoga Bapak Jokowi selalu sehat....saya Bangga punya pemimpin seperti Bapak.... Masa depan cerah bagi anak, cucu dan keturunan indonesia. Demikian Jro made wira yasa",semoga jokowi sehat banga pemimpin cerah anak cucu keturunan indonesia jro made wira yasa,Positif
8,Nando s Mirajul Muminin,"Bapak Presiden yang terhormat. Saya sebagai rakyat ingin mnyuarakan yang dimana menurut saya pernyataan di atas blum jelas, yaitu :
Berdasarkan pernyataan hoax UMP, UMK, UMSP ditiadakan, namun hal tersebut dibantah oleh bapak dengan menyatakan perihal diatas tetap ada, tetapi bapak tidak menjelaskan apakah nilai upah tersebut tetap sama? Apakah ada pengurangan terhdap nilai upah tersebut?

Begitu juga point yang bapak sampaikan tentang permasalahan cuti yang dimana berdasarkan berita hoax cuti-cuti tersebut ditiadakan, dan bapak jokowi membantah pernyataan tersebut dengan mengakatan cuti-cuti tersebut tetap ada,  namun pertanyaan saya selaku rakyat apakah durasi cuti tersebut tetap sama? Apakah ada pengurangan lama cuti?

Jaminan sosial yang bapak katakan tetap ada apakah tetap sama? Atau adanya perubahan terhadap point2 diatas setelah ruu ciptakerja ini berlaku. Berikut pernyataan bapak yang menurut saya perlu saya tanyakan. Dengan penuh hormat bapak Presiden Joko Widodo yang saya cintai. Sekian, terimakasih.",presiden terhormat rakyat mnyuarakan dimana pernyatan berdasarkan pernyatan isu bohong ump umk umsp ditiadakan dibantah perihal diatas nilai upah pengurangan terhdap nilai upah point permasalahan cuti dimana berdasarkan berita isu bohong cuti cuti ditiadakan jokowi membantah pernyatan mengakatan cuti cuti pertanyan rakyat durasi cuti pengurangan cuti jaminan sosial perubahan point diatas ciptakerja berlaku pernyatan penuh hormat presiden joko widodo cintai sekian terimakasih,Negatif
9,Ferry Pangemanan,"Cina 100 tahun baru maju dgn..  Catatan hukum mati para korupsi. 1 orang koruptor bisa bikin 100 rumah unk yg tdk. Mampu.  
 Contoh  di cina.. Bpk ku.",cina maju catatan hukum mati korupsi orang koruptor bikin rumah unk contoh cina,Negatif
10,yulia rahmawati,Kami tau bapak selalu memberikan yg terbaik untuk negara💪❤,terbaik negara,Positif
11,bambang sutejo,Mantull. Siap pa jokowi. Mereka yg nyinyir cuma barisan sakit hati,mantul jokowi nyinyir barisan sakit hati,Negatif
12,Putra Ytv,"Dear DPR:
""Dihati dan lidahmu kami berharap""
""Suara kami tolong dengar lalu sampaikan""
""Jangan ragu,jangan takut karang menghadang""
""Bicaralah yang lantang jangan hanya diam!""",dear dpr dihati lidahmu berharap suara tolong dengar ragu takut karang menghadang bicaralah lantang diam,Negatif
13,Putra Ytv,"Saudara dipilih bukan dilotre
Meski kami tak kenal siapa saudara
Kami tak sudi memilih para juara
Juara diam,juara he-eh , juara hahaha",saudara dipilih dilotremeski kenal saudarakami sudi memilih juarajuara diam juara he eh juara hahaha,Negatif
14,EC KO,Pak jokowi emang hebat super hebat.🤣🤣🤣,jokowi hebat super hebat,Positif
