,Name,Comment,stopword_comment,Hasil Sentimen
0,Nandar Iskandar,Kerja 4 th boro boro di angkatttt pegawaiii makannn keringat saya tèrussssKerja 4 th boro boro di angkatttt pegawaiii makannn keringat saya tèrussss ini pemerintah ngawurrrr !!!! HAK SAYA MANA KUNTULLLL,kerja boro boro angkat pegawai makan keringat tèruskerja boro boro angkat pegawai makan keringat tèrus pemerintah berbicara sembarangan hak kuntul,Negatif
1,Aris Adicahyono,"Baca putusan mk dengan benar, setiap pelaksanaan Ciptakerja batal demi hukum",baca putusan mk pelaksanan ciptakerja batal hukum,Negatif
2,Teguh Drakula,"Maaf pak saya telah mengganggu dengan masuk dan komen di channel bapak, tetapi ada hal urgen yang perlu saya beritahukan ke bapak.

Ulayat Adat Sukajaya Way Kerap telah kehilangan tanah seluas 350ha yang diambil HGU nya oleh PT.Ika Nusa Fistama (HGU sudah habis) dan hari ini pihak ATR-BPN telah menjadikan tanah tersebut menjadi tanah terlanta. Sekedar tambahan info kami sudah lapor ke ATR BPN setempat tidak direspon, ke kementrian ATR-BPN pun sama tidak direspon, ketika saya masuk wistleblower ATR-BPN pun sama Cuma bisa daftar tanpa bisa submit pengaduan.

Sementara ketika saya masuk ke kanal presiden kondisinya pun sama, jangankan masuk ke lembar pengaduan, bahkan akses ke kanal milik bapak pun tidak bisa dibuka. Berikutnya saya tidak perlu saya menyebutkan bahwa warga kami Ulayat Adat Sukajaya Way Kerap telah ditipu oknum perusahaan bahkan dilaporkan polisi.

terima kasih Teguh Drakula Panglima Ulayat Adat Sukajaya Way Kerap.",maaf mengangu masuk komen chanel urgen beritahukan ulayat adat sukajaya way kerap kehilangan tanah seluas tertawa diambil hgu pt ika nusa fistama hgu habis atr bpn menjadikan tanah tanah terlanta sekedar tambahan informasi lapor atr bpn direspon kementrian atr bpn direspon masuk wistleblower atr bpn daftar submit pengaduan masuk kanal presiden kondisinya masuk lembar pengaduan akses kanal milik dibuka warga ulayat adat sukajaya way kerap ditipu oknum perusahan dilaporkan polisi terima kasih teguh drakula panglima ulayat adat sukajaya way kerap,Negatif
3,Presiden & Rakyat,"Salam 3 periode jika Allah menghendaki dan rakyat mengharapkan

Ternyata banyak pemimpin daerah tidak bekerja keras dan memikirkan rakyat. Inilah yang menghambat rakyat Indonesia sejahtera dan salah satu penyebab pencurian, pembunuhan dan kejahatan lainnya karena lowongan pekerjaan tidak mengakomodasi sebagian besar rakyat.

Kalau rakyat pintar pemimpin yang seperti ini harus di laporkan ke DPRD, duduk bareng di musyawarah kan baik-baik ga perlu demo karena ga ada gunanya.


Mungkin sebaiknya pemimpin daerah diangkat oleh presiden jadi kalau mereka bekerja tidak maksimal dan semaunya mereka sendiri bisa di resuffle disamping itu bisa menghemat anggaran dan juga memperkecil korupsi.

Serangan fajar  itu adalah modal untuk korupsi. 

Mempersulit investasi? karena itu lahan bagus untuk korupsi jadi ya mungkin dibiarkan saja dan rakyat akhirnya yang menderita karena sedikitnya lowongan pekerjaan ini  salah satu penyebab pencurian dan kejahatan terjadi.

Mungkin menteri dalam negeri atau ada jabatan menteri baru yang tugasnya khusus mengurusi penerapan anggaran di daerah daerah, 
seperti 
syarat investasi nasional 1 pintu
membuat sistem proyek transparan

Rakyat sudah lama menderita karena pemimpinnya tidak berpikir bagaimana cara mensejahterakan rakyat dan hanya memikirkan uang dan juga kekuasaan. 

Seharusnya masa jabatan pemimpin tidak boleh diatur-atur karena ini negara demokrasi toh rakyat yang memilih. 

Kalau mau rakyat Indonesia sejahtera ini wajib untuk diperjuangkan karena orang pintar banyak tapi sulit mencari sosok pemimpin yang sesuai.

Kritik dan saran
Buat program - program syariah seperti investasi, perumahan, bank, proyek dll agar negara ini diberikan barokah oleh Allah SWT",salam periode allah rakyat mengharapkanternyata pemimpin daerah keras memikirkan rakyat menghambat rakyat indonesia sejahtera salah penyebab pencurian pembunuhan kejahatan lainya lowongan pekerjan mengakomodasi rakyat rakyat pintar pemimpin laporkan dprd duduk bareng musyawarah demo gunanya pemimpin daerah diangkat presiden maksimal resufle disamping menghemat angaran memperkecil korupsi serangan fajar modal korupsi mempersulit investasi lahan bagus korupsi dibiarkan rakyat menderita lowongan pekerjan salah penyebab pencurian kejahatan menteri negeri jabatan menteri tugasnya khusus mengurusi penerapan angaran daerah daerah syarat investasi nasional pintumembuat sistem proyek transparanrakyat menderita pemimpinya berpikir mensejahterakan rakyat memikirkan uang kekuasan jabatan pemimpin diatur atur negara demokrasi rakyat memilih rakyat indonesia sejahtera wajib diperjuangkan orang pintar sulit mencari sosok pemimpin sesuai kritik saranbuat program program syariah investasi perumahan bank proyek negara barokah allah swt,Negatif
4,"Justin The Lawyer Manurung., SH","Kalau UU yg tdk baik (masih dlm proses perbaikan yg membutuhkan waktu lama menurut MK bisa 2 tahun), jangan diberlakukan dulu ke rakyatnya, diberlakukan saja sama keluarga pemerintah yg berdiri disebelah kiri & sebelah kanan presiden itu aja. Gimana sih presiden ini, masa barang yg tdk baik yg memakan waktu 2 tahun utk memperbaiki kerusakannya diberlakukan ke rakyatnya. Paham ga sih presiden ini arti jangka 2 tahun itu)??? Artinya : KERUSAKANNYA PARAH, PARAH, PARAH. Kalau rdk parah, tak akan keluar angka 2 tahun itu, mungkin hanya 1  atau 2 bulan.",proses perbaikan membutuhkan mk diberlakukan rakyatnya diberlakukan keluarga pemerintah berdiri disebelah kiri sebelah kanan presiden presiden barang memakan memperbaiki kerusakanya diberlakukan rakyatnya paham presiden arti jangka kerusakanya parah parah parah rdk parah angka,Negatif
5,Heri Ahmad,"Mohon jadi perhatian juga buat pemerintah, Khusus KTA Satpam jangan mahal2x,  masa perpanjangan KTA di polda
 Rp 150 rb, dan yg sudah lewat masa berlakunya Rp 450 rb, harusnya kta SATPAM sudah menjadi tanggung jawab perusahaan / pt yg menyedihkan jasa Satpam,  masa perpanjang KTA Satpam pakai uang pribadi.",mohon perhatian pemerintah khusus kta satuan pengamanan mahalx perpanjangan kta polda rp rb berlakunya rp rb kta satuan pengamanan tangung perusahan pt menyedihkan jasa satuan pengamanan perpanjang kta satuan pengamanan pakai uang pribadi,Negatif
6,Putri Nur Azahra,"Pak Joko Widodo tolong kami tolong kami rakyat mu sengsara
Rakyat mu menderita karena judi online marak beredar di oline secara bebas dan kami pun terjerumus kedalam hal tersebut dan membuat kami semakin hancur oleh nya .
Tolong pemerintah , kepolisian online , penegak hukum mana respek kalian 
Untuk rakyat .
Setidaknya , jangan bikin rakyat menderita , oleh mereka tolong hentikan kebodohan ini .
Jangan sampai generasi selanjutnya hanya menumpuk penderita oleh bandar judi online.",joko widodo tolong tolong rakyat mu sengsararakyat mu menderita judi online marak beredar oline bebas terjerumus kedalam hancur tolong pemerintah kepolisian online penegak hukum respek rakyat bikin rakyat menderita tolong hentikan kebodohan generasi menumpuk penderita bandar judi online,Negatif
7,Ade Utama,Fix pendukung oligarki,fix pendukung oligarki,Negatif
8,abah Chanel,Sdh tdk percaya rakyat dgn dalih2 kebohonganmu...!,percaya rakyat dalih kebohonganmu,Negatif
9,Harsoyo Saputro,"Kepastian hukum semestinya berpedoman pada konstitusi, jika dinyatakan inkonstitusional artinya ada pelanggaran pada undang²nya, logika sederhana jika diteruskan pemberlakuan berarti menabrak ketentuan hukum, negara tak boleh mecontoh kan, UU yg Inkonstitusional tetap diberlakukan,
Undang² bukan untuk di Eyel, tapi untuk dipatuhi,",kepastian hukum semestinya berpedoman konstitusi dinyatakan inkonstitusional pelangaran undangnya logika sederhana diteruskan pemberlakuan menabrak ketentuan hukum negara mecontoh inkonstitusional diberlakukan undang eyel dipatuhi,Negatif
